date, reward, step
2017-02-08 11:15:53, -20, 1523
2017-02-08 11:15:55, -21, 1514
2017-02-08 11:15:55, -19, 1510
2017-02-08 11:15:57, -19, 2145
2017-02-08 11:15:58, -17, 2157
2017-02-08 11:15:58, -21, 1401
2017-02-08 11:15:58, -19, 1611
2017-02-08 11:16:00, -21, 1558
2017-02-08 11:16:01, -21, 1496
2017-02-08 11:16:02, -20, 1532
2017-02-08 11:16:06, -21, 1325
2017-02-08 11:16:07, -20, 1336
2017-02-08 11:16:10, -19, 1580
2017-02-08 11:16:11, -19, 1553
2017-02-08 11:16:13, -19, 1610
2017-02-08 11:16:14, -21, 1318
2017-02-08 11:16:14, -20, 1491
2017-02-08 11:16:15, -21, 1340
2017-02-08 11:16:15, -21, 1516
2017-02-08 11:16:15, -21, 1218
2017-02-08 11:16:17, -21, 1215
2017-02-08 11:16:18, -21, 1316
2017-02-08 11:16:20, -20, 1470
2017-02-08 11:16:20, -18, 1964
2017-02-08 11:16:20, -21, 1341
2017-02-08 11:16:20, -20, 1358
2017-02-08 11:16:21, -21, 1388
2017-02-08 11:16:21, -21, 1310
2017-02-08 11:16:22, -19, 1832
2017-02-08 11:16:31, -21, 1370
2017-02-08 11:16:33, -21, 1439
2017-02-08 11:16:33, -17, 2015
2017-02-08 11:16:34, -21, 1274
2017-02-08 11:16:36, -21, 1545
2017-02-08 11:16:37, -21, 1312
2017-02-08 11:16:39, -20, 1498
2017-02-08 11:16:40, -20, 1586
2017-02-08 11:16:41, -20, 1514
2017-02-08 11:16:44, -18, 1803
2017-02-08 11:16:45, -20, 1617
2017-02-08 11:16:45, -21, 1391
2017-02-08 11:16:47, -21, 1374
2017-02-08 11:16:48, -21, 1632
2017-02-08 11:16:49, -18, 1679
2017-02-08 11:16:49, -21, 1322
2017-02-08 11:16:51, -21, 1421
2017-02-08 11:16:51, -21, 1302
2017-02-08 11:16:54, -21, 1340
2017-02-08 11:16:55, -20, 1392
2017-02-08 11:16:55, -21, 1232
2017-02-08 11:16:56, -20, 1458
2017-02-08 11:16:57, -21, 1281
2017-02-08 11:16:57, -21, 1259
2017-02-08 11:17:00, -21, 1302
2017-02-08 11:17:00, -19, 1620
2017-02-08 11:17:00, -20, 1400
2017-02-08 11:17:00, -20, 1506
2017-02-08 11:17:01, -19, 1623
2017-02-08 11:17:01, -18, 1668
2017-02-08 11:17:02, -20, 1467
2017-02-08 11:17:02, -20, 1460
2017-02-08 11:17:02, -18, 1637
2017-02-08 11:17:03, -20, 1586
2017-02-08 11:17:09, -21, 1305
2017-02-08 11:17:11, -21, 1234
2017-02-08 11:17:14, -20, 1540
2017-02-08 11:17:15, -20, 1341
